message,label
can you help?,help
feedback option,feedback
sign out of educonnect,logout
study materials list,resources
how do i sign in to educonnect?,login
how does this work?,help
how to sign up,signup
where is help?,help
take quiz,quiz
sign out button,logout
help please,help
resources for study,resources
contact admin,feedback
chat with partners,chat
send message to admin,feedback
view timer,timer
chat list,chat
sign in here,login
send issue report,feedback
available study partners,study_group
group messaging,chat
home link,dashboard
how do i use this?,help
progress statistics,analytics
access timer,timer
write feedback,feedback
open resources,resources
view account profile,profile
help center,help
admin users list,admin
profile update,profile
frequently asked questions,help
study report,analytics
view course resources,resources
my details,profile
talk to admin,chat
chat section,chat
access dashboard,dashboard
register me,signup
feedback request,feedback
create new account,signup
sign out now,logout
admin controls,admin
next topic link,next_topic
admin view,admin
can i create a study group?,study_group
how do i join a study group?,study_group
i need password help,password_reset
go to analytics,analytics
recover my password,password_reset
quiz page please,quiz
topic discovery,nlp_insights
i want to access my profile,login
profile management,profile
any help,help
learning statistics,analytics
learning resources list,resources
manage feedback,admin
suggest learning resources,recommendations
open feedback,feedback
stop countdown,timer
learning progress report,analytics
timer please,timer
show me quiz results,quiz
leave my account,logout
browse study groups,study_group
how do i logout?,logout
where do i sign in?,login
profile section,profile
login to my account,login
login form,login
study group recommendations,study_group
timer option,timer
admin user list,admin
send complaint,feedback
what's the next topic?,next_topic
study recommendations,recommendations
where is the timer?,timer
account sign up,signup
close my session,logout
find study materials,resources
how do i send feedback?,feedback
account logout,logout
leave the app,logout
next topic,next_topic
recommend study partners,recommendations
start my timer,timer
educational resources,resources
start countdown,timer
where is sign in?,login
next part of course,next_topic
study timer please,timer
timer for study,timer
quiz section please,quiz
i forgot my login,login
stop the timer please,timer
study group matching,study_group
administrator access,admin
i need resources,resources
view feedback as admin,admin
admin section,admin
go to timer,timer
nlp page,nlp_insights
user support,help
open messaging,chat
how am i doing?,analytics
what should i study?,recommendations
stop timer,timer
exit account,logout
open logout,logout
open quiz,quiz
suggest courses,recommendations
find my study group,study_group
login link,login
view help,help
guide me,help
resources list,resources
open profile,profile
get help,help
see analytics,analytics
report a bug,feedback
view study stats,analytics
what to study next,next_topic
exit my account,logout
personal profile,profile
study resources,resources
topic dashboard,nlp_insights
get resources,resources
bertopic,nlp_insights
logout from account,logout
navigate to dashboard,dashboard
